Date,Open,High,Low,Close,Adj Close,Volume
2019-07-02,691.809998,692.580017,687.690002,692.580017,692.580017,680800000
2019-07-03,688.950012,691.900024,685.000000,689.140015,689.140015,658100000
2019-07-04,689.219971,689.979980,687.450012,688.840027,688.840027,623600000
2019-07-05,688.739990,692.200012,688.570007,690.719971,690.719971,624900000
2019-07-08,689.969971,690.140015,683.750000,688.840027,688.840027,568500000
2019-07-09,689.729980,694.190002,689.059998,692.520020,692.520020,741100000
2019-07-10,693.179993,696.039978,690.390015,696.039978,696.039978,684800000
2019-07-11,696.440002,697.780029,691.039978,695.549988,695.549988,633400000
2019-07-12,694.950012,695.289978,686.750000,687.239990,687.239990,638500000
2019-07-15,693.919983,697.750000,692.400024,694.640015,694.640015,834000000
2019-07-16,695.260010,696.090027,691.590027,692.840027,692.840027,545600000
2019-07-17,693.250000,693.440002,688.869995,690.260010,690.260010,724800000
2019-07-18,690.710022,696.820007,689.270020,696.000000,696.000000,825900000
2019-07-19,699.179993,700.510010,696.619995,699.859985,699.859985,591900000
2019-07-22,699.530029,700.429993,691.340027,693.270020,693.270020,522400000
2019-07-23,695.559998,696.210022,692.460022,695.150024,695.150024,550200000
2019-07-24,696.169983,696.690002,690.719971,690.719971,690.719971,516100000
2019-07-25,690.739990,695.869995,690.179993,694.030029,694.030029,738300000
2019-07-26,691.090027,691.710022,676.289978,681.260010,681.260010,643900000
2019-07-29,681.909973,683.340027,676.119995,679.169983,679.169983,485500000
2019-07-30,683.880005,686.690002,681.760010,686.690002,686.690002,651000000
2019-07-31,683.869995,688.830017,679.030029,687.799988,687.799988,1131000000
2019-08-01,687.440002,691.960022,685.020020,690.489990,690.489990,742100000
2019-08-02,683.109985,687.030029,680.169983,685.479980,685.479980,715400000
2019-08-05,677.960022,680.789978,664.500000,664.919983,664.919983,746100000
2019-08-06,657.109985,666.409973,648.789978,661.590027,661.590027,1074000000
2019-08-07,667.140015,674.130005,665.640015,669.239990,669.239990,1172600000
2019-08-08,673.260010,679.479980,672.400024,678.599976,678.599976,927500000
2019-08-09,682.530029,684.659973,679.280029,679.280029,679.280029,823300000
2019-08-12,682.859985,683.739990,673.530029,675.630005,675.630005,700100000
2019-08-13,676.250000,676.260010,663.950012,667.469971,667.469971,850300000
2019-08-14,674.900024,676.020020,669.940002,675.349976,675.349976,901900000
2019-08-15,662.929993,672.229980,660.099976,672.229980,672.229980,843900000
2019-08-16,671.190002,675.229980,668.429993,672.650024,672.650024,920200000
2019-08-19,678.679993,680.049988,673.630005,675.590027,675.590027,687300000
2019-08-20,679.729980,680.659973,676.489990,680.659973,680.659973,795500000
2019-08-21,679.780029,681.780029,673.669983,673.750000,673.750000,677700000
2019-08-22,674.900024,676.150024,669.539978,675.020020,675.020020,767400000
2019-08-23,675.179993,680.219971,669.830017,679.250000,679.250000,829900000
2019-08-26,667.619995,676.159973,661.710022,674.869995,674.869995,858000000
2019-08-27,679.809998,688.210022,675.070007,686.510010,686.510010,1338600000
2019-08-28,689.140015,692.179993,686.770020,689.020020,689.020020,854900000
2019-08-29,689.729980,692.890015,689.400024,691.429993,691.429993,689800000
2019-08-30,696.349976,703.140015,693.260010,702.590027,702.590027,806300000
2019-09-02,704.210022,705.020020,697.409973,698.739990,698.739990,1175000000
2019-09-03,700.809998,701.010010,692.169983,692.700012,692.700012,914300000
2019-09-04,692.489990,694.820007,689.400024,692.869995,692.869995,785900000
2019-09-05,694.369995,699.280029,692.020020,699.280029,699.280029,741500000
2019-09-06,702.150024,702.640015,694.179993,697.229980,697.229980,780100000
2019-09-09,701.630005,705.469971,699.039978,703.609985,703.609985,941700000
2019-09-10,706.059998,706.929993,701.049988,704.099976,704.099976,989600000
2019-09-11,704.900024,706.229980,699.719971,706.229980,706.229980,1037900000
2019-09-12,706.989990,707.960022,695.559998,695.760010,695.760010,770200000
2019-09-13,699.030029,699.619995,691.960022,693.679993,693.679993,634100000
2019-09-16,693.630005,700.229980,687.539978,700.229980,700.229980,720300000
2019-09-17,701.380005,701.820007,696.700012,697.919983,697.919983,579000000
2019-09-18,696.960022,700.260010,694.780029,700.179993,700.179993,658800000
2019-09-19,700.650024,701.409973,692.780029,693.630005,693.630005,589200000
2019-09-20,695.000000,695.940002,691.760010,695.030029,695.030029,983000000
2019-09-23,696.909973,697.530029,690.039978,691.750000,691.750000,592300000
2019-09-24,689.119995,690.280029,678.190002,681.169983,681.169983,747700000
2019-09-25,678.630005,682.450012,673.320007,682.450012,682.450012,588100000
